Doctor Name,Specialization,Location,Qualification,Ratings,Phone Number
Dr. Manoj Sharma,Ophthalmologist,Biratnagar,MCh,4.2,-981745850
Dr. Hari Lama,Psychiatrist,Lalitpur,DM,4.2,-987820877
Dr. Ram Poudel,Dentist,Pokhara,DM,4.4,-989521569
Dr. Manoj Gautam,Ophthalmologist,Butwal,BDS,3.8,-987567516
Dr. Gita Sharma,Ophthalmologist,Dharan,MBBS,3.9,-988342560
Dr. Bishnu Thapa,Pediatrician,Hetauda,MD,5,-987991789
Dr. Manoj Thapa,Dermatologist,Bharatpur,MS,3.2,-989664061
Dr. Gita Gautam,Orthopedic,Dharan,MS,4.6,-987634900
Dr. Bishnu Adhikari,Orthopedic,Bharatpur,DM,3.2,-986315148
Dr. Bishnu Gautam,Orthopedic,Biratnagar,MD,3.3,-982922273
Dr. Gita Karki,General Physician,Hetauda,MD,3.9,-981348327
Dr. Hari Adhikari,Gynecologist,Lalitpur,MS,4,-985624147
Dr. Manoj Thapa,Orthopedic,Pokhara,MD,4.1,-985040340
Dr. Sita Pokharel,Pediatrician,Butwal,MBBS,4.8,-988866352
Dr. Gita Poudel,Orthopedic,Butwal,MDS,3.4,-984824112
Dr. Manoj Poudel,Gynecologist,Lalitpur,MBBS,3,-986641719
Dr. Sarita Adhikari,Dentist,Butwal,DM,4.1,-986366342
Dr. Hari Thapa,Gynecologist,Biratnagar,DM,3.8,-983009645
Dr. Manoj Bhandari,Dermatologist,Pokhara,MCh,3.8,-984892508
Dr. Maya Sharma,Gynecologist,Dharan,MD,4.8,-982087887
Dr. Ram Tamang,Orthopedic,Hetauda,BDS,4.8,-981520744
Dr. Manoj Pokharel,Dermatologist,Lalitpur,MDS,4.9,-983771888
Dr. Hari Lama,Gynecologist,Birgunj,PhD (Medical Science),4.5,-989759074
Dr. Manoj Lama,Cardiologist,Dharan,MS,4.1,-982978962
Dr. Krishna Gautam,General Physician,Nepalgunj,MCh,4.4,-985512391
Dr. Ram Lama,Dentist,Nepalgunj,BDS,3.9,-981228833
Dr. Bishnu Bhandari,Orthopedic,Lalitpur,MCh,3.8,-987835422
Dr. Krishna Tamang,Gynecologist,Butwal,MDS,4.6,-987858525
Dr. Bishnu Tamang,Dentist,Birgunj,DM,3.5,-983968888
Dr. Ram Pokharel,Dentist,Biratnagar,MD,3.4,-989493356
Dr. Manoj Lama,Neurologist,Nepalgunj,PhD (Medical Science),3.6,-988226935
Dr. Manoj Karki,Dermatologist,Lalitpur,BDS,4,-986223697
Dr. Krishna Gautam,Dermatologist,Hetauda,BDS,4,-982040419
Dr. Hari Poudel,General Physician,Butwal,MCh,4.9,-988304940
Dr. Ram Thapa,Psychiatrist,Lalitpur,BDS,4.8,-985187179
Dr. Ram Tamang,General Physician,Pokhara,MDS,3.1,-981425728
Dr. Ram Thapa,Neurologist,Nepalgunj,MCh,4,-987088369
Dr. Gita Lama,Neurologist,Pokhara,MBBS,3.9,-981628310
Dr. Bishnu Bhandari,Dermatologist,Nepalgunj,DM,3.4,-988622023
Dr. Ram Poudel,Psychiatrist,Biratnagar,PhD (Medical Science),4.8,-982046421
Dr. Krishna Adhikari,Cardiologist,Kathmandu,PhD (Medical Science),3.6,-987022381
Dr. Shyam Bhandari,Orthopedic,Lalitpur,MCh,3.9,-983152390
Dr. Bishnu Tamang,Dentist,Biratnagar,MS,3.6,-988188766
Dr. Krishna Bhandari,Dermatologist,Lalitpur,DM,3.9,-987644464
Dr. Sita Lama,Ophthalmologist,Birgunj,PhD (Medical Science),4.8,-983922940
Dr. Ram Bhandari,Pediatrician,Birgunj,MS,3.7,-988572037
Dr. Manoj Lama,Neurologist,Lalitpur,MDS,3.8,-986310503
Dr. Bishnu Lama,Dermatologist,Lalitpur,MS,4.6,-989201472
Dr. Sita Sharma,Psychiatrist,Dharan,MD,3.6,-986790646
Dr. Manoj Bhandari,Neurologist,Pokhara,MD,4.2,-984472964
Dr. Manoj Thapa,Neurologist,Biratnagar,MDS,4.9,-984893589
Dr. Gita Pokharel,Psychiatrist,Hetauda,MBBS,4.3,-985073172
Dr. Manoj Karki,Neurologist,Kathmandu,BDS,4.8,-986254474
Dr. Shyam Lama,Pediatrician,Bharatpur,MD,3.6,-987572574
Dr. Krishna Adhikari,Dermatologist,Bharatpur,DM,4.3,-987833261
Dr. Shyam Poudel,Cardiologist,Pokhara,MS,3.8,-985688493
Dr. Sarita Thapa,Psychiatrist,Pokhara,PhD (Medical Science),4.4,-983279489
Dr. Manoj Thapa,Dermatologist,Nepalgunj,MD,3.5,-988434604
